62 100
 #######         ################          ###################
 #....*#       ###......i.......###        #...#.............#
 #.....#########.....########....s###      #...###.....h..#..#
 #..p...............##      ###.....###    #.....#*s#.....#..#
 #.....########.....#         ##......##   #......#########..#
 #*....#      #.....#          ##......#   #.................#
 #######      #.....#  #######  ##.....#####..################
              #.....####....*#####..................s........#
              #*.................g..########..#############..#
            ###..############......##      #..#*.............#
           ##....#          #....###       #..#....######...*#
           #...###          #..##          #..#....#    #....#
           #..##            #..#############..#...##    #*.o.#
         ###..###############.......h.............#     ###.##
         #...*#........i...*#....##########...o..*#       #.# 
         #....#.....#............#        ####....#       #.# 
         #.....o....#.......######           ##...##      #.# 
         #########..........#                 ##...##     #.# 
                 #..........#####              ##...##    #.# 
               ###......i.......###        ######....######.# 
         #######.....###....#....s###      #..g.............# 
        ##...h......## ##....#......###    #.....#*k#.....### 
       ##..........##  ##.....#.......##   #......##......#   
      ##..........###  ###.....#.......#   #..............#   
      ##...........##  #######**#......#####..################
       ##...........####....*#####..................s........#
        ##.....*.................g............#############..#
         ######..############.................#*.............#
           ##....#          #.......###########....######...*#
           #...###          #.................#....#    #....#
           #..##            #..h......#.......#...##    #*.o.#
         ###.################.........#...........#     #....#
         #...*#........i...*#....##########...o..*#     ##...#
         #....#.....#............#        #.......#      ##..#
         #.....o....#.......######        #.......d       ##.#
         ##########################################        ###                                 
